quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,adaptive,RQ,0,0.128173637,0.048515376,0.04495614,0.618005636,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,1,0.128173637,0.048515376,0.04495614,0.617992193,0.998807459,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,2,0.128173637,0.048515376,0.04495614,0.618004623,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,3,0.128173637,0.048515376,0.04495614,0.618005492,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,4,0.128173637,0.048515376,0.04495614,0.618005654,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,5,0.128173637,0.048515376,0.04495614,0.618005351,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,6,0.128173637,0.048515376,0.04495614,0.618009761,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,7,0.128173637,0.048515376,0.04495614,0.61800881,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,8,0.128173637,0.048515376,0.04495614,0.618006404,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,9,0.128173637,0.048515376,0.04495614,0.618005727,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,10,0.128173637,0.048515376,0.04495614,0.618009747,0.998807454,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,11,0.128173637,0.048515376,0.04495614,0.617997445,0.998807457,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,12,0.128173637,0.048515376,0.04495614,0.618007023,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,13,0.128173637,0.048515376,0.04495614,0.618014824,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,14,0.128173637,0.048515376,0.04495614,0.61800672,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,15,0.128173637,0.048515376,0.04495614,0.618006573,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,16,0.128173637,0.048515376,0.04495614,0.618009333,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,17,0.128173637,0.048515376,0.04495614,0.618005552,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,18,0.128173637,0.048515376,0.04495614,0.617998966,0.998807457,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,19,0.128173637,0.048515376,0.04495614,0.618019011,0.998807452,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,20,0.128173637,0.048515376,0.04495614,0.618014757,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,21,0.128173637,0.048515376,0.04495614,0.61800587,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,22,0.128173637,0.048515376,0.04495614,0.618009015,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,23,0.128173637,0.048515376,0.04495614,0.618005692,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,24,0.128173637,0.048515376,0.04495614,0.618014765,0.998807453,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,25,0.128173637,0.048515376,0.04495614,0.618004399,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,26,0.128173637,0.048515376,0.04495614,0.618008577,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,27,0.128173637,0.048515376,0.04495614,0.618004758,0.998807456,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,28,0.128173637,0.048515376,0.04495614,0.618005635,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,RQ,29,0.128173637,0.048515376,0.04495614,0.618005584,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,symmetric,RQ,0,0.126726934,0.050106045,0.039473684,0.494429703,0.992099548,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,1,0.126726935,0.050106045,0.039473684,0.494432193,0.992099493,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,2,0.126726934,0.050106045,0.039473684,0.494431929,0.992099499,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,3,0.126726933,0.050106045,0.039473684,0.415436833,0.992099518,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,4,0.126726933,0.050106045,0.039473684,0.415438465,0.992099465,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,5,0.126726936,0.050371156,0.039473684,0.477926499,0.992099488,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,6,0.126726933,0.050106045,0.039473684,0.415436425,0.992099532,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,7,0.126726936,0.050106045,0.039473684,0.415439486,0.992099432,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,8,0.126726938,0.050106045,0.039473684,0.415435817,0.992099552,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,9,0.126726933,0.050106045,0.039473684,0.41543743,0.992099499,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,10,0.126726935,0.050106045,0.039473684,0.415436184,0.992099539,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,11,0.126726946,0.050371156,0.039473684,0.485027395,0.992099089,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,12,0.126726963,0.050106045,0.039473684,0.419521479,0.992098702,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,13,0.126726937,0.050106045,0.039473684,0.494427198,0.992099603,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,14,0.126726934,0.050106045,0.039473684,0.415436643,0.992099524,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,15,0.126726933,0.050106045,0.039473684,0.415436688,0.992099523,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,16,0.126726933,0.050106045,0.039473684,0.415437602,0.992099493,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,17,0.126726935,0.050106045,0.039473684,0.415434662,0.992099589,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,18,0.126726938,0.050106045,0.039473684,0.415438594,0.992099461,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,19,0.126726935,0.050106045,0.039473684,0.494432358,0.99209949,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,20,0.126726933,0.050106045,0.039473684,0.415437123,0.992099509,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,21,0.126726949,0.050106045,0.039473684,0.419511962,0.992099047,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,22,0.126726934,0.050106045,0.039473684,0.415440198,0.992099408,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,23,0.12672695,0.050106045,0.039473684,0.419507036,0.992099225,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,24,0.126726937,0.050106045,0.039473684,0.415442017,0.992099349,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,25,0.126726939,0.050106045,0.039473684,0.415437003,0.992099513,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,26,0.126726943,0.050106045,0.039473684,0.419508402,0.992099177,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,27,0.126726933,0.050106045,0.039473684,0.41543854,0.992099462,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,28,0.12672694,0.050106045,0.039473684,0.419505731,0.992099274,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,29,0.126726955,0.050106045,0.039473684,0.494432294,0.992099493,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,asymmetric,RQ,0,0.124139089,0.050106045,0.036732456,0.292471694,0.999114174,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,1,0.124139114,0.050371156,0.036732456,0.282412357,0.999114172,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,2,0.124139083,0.050106045,0.036732456,0.292567433,0.999114143,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,3,0.124139171,0.050371156,0.036732456,0.282466999,0.99911416,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,4,0.124139139,0.050106045,0.036732456,0.29244816,0.999114186,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,5,0.124139088,0.050371156,0.036732456,0.282422249,0.999114168,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,6,0.124139096,0.050106045,0.036732456,0.280643544,0.99911414,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,7,0.124139097,0.050371156,0.036732456,0.282403087,0.999114172,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,8,0.124139195,0.050371156,0.036732456,0.28227704,0.999114209,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,9,0.12413907,0.050106045,0.036732456,0.302783711,0.999114148,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,10,0.124139067,0.050106045,0.036732456,0.292499154,0.999114169,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,11,0.124139071,0.050106045,0.036732456,0.280613584,0.999114156,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,12,0.124139088,0.050106045,0.036732456,0.292467555,0.999114174,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,13,0.124139157,0.050106045,0.036732456,0.292412812,0.999114191,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,14,0.124139086,0.050371156,0.036732456,0.282421278,0.999114168,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,15,0.124139165,0.050371156,0.036732456,0.282378155,0.999114183,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,16,0.124139084,0.050106045,0.036732456,0.287087312,0.999114157,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,17,0.124139086,0.050106045,0.036732456,0.28064233,0.999114136,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,18,0.124139076,0.050371156,0.036732456,0.282437735,0.999114164,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,19,0.124139053,0.050106045,0.036732456,0.280605788,0.999114159,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,20,0.124139072,0.050106045,0.036732456,0.280607223,0.999114159,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,21,0.124139105,0.050106045,0.036732456,0.292439901,0.99911418,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,22,0.124139118,0.050371156,0.036732456,0.282375888,0.999114181,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,23,0.124139054,0.050106045,0.036732456,0.292538807,0.999114159,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,24,0.124139054,0.050106045,0.036732456,0.280605982,0.999114159,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,25,0.124139273,0.050371156,0.036732456,0.282314957,0.999114199,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,26,0.124139088,0.050106045,0.036732456,0.280605121,0.999114159,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,27,0.124139064,0.050106045,0.036732456,0.292561634,0.999114149,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,28,0.12413906,0.050371156,0.036732456,0.282441884,0.999114162,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,29,0.124139054,0.050106045,0.036732456,0.292533392,0.999114162,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,igarch,RQ,0,0.126249348,0.050106045,0.040570175,0.872290423,0.997500295,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,1,0.12624933,0.050371156,0.040570175,0.881574181,0.997500239,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,2,0.126249343,0.050106045,0.040570175,0.875770261,0.997500256,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,3,0.126249369,0.050371156,0.040570175,0.838709733,0.997500308,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,4,0.12624934,0.050106045,0.040570175,0.746751922,0.997500226,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,5,0.126249362,0.050106045,0.040570175,0.742620623,0.997500264,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,6,0.126249345,0.050371156,0.040570175,0.757547093,0.997500221,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,7,0.126249334,0.050106045,0.040570175,0.746749188,0.99750026,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,8,0.126249329,0.050106045,0.040570175,0.746751346,0.99750024,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,9,0.126249355,0.050371156,0.040570175,0.835288217,0.997500329,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,10,0.126249375,0.050371156,0.040570175,0.835287011,0.997500398,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,11,0.126249334,0.050106045,0.040570175,0.746749064,0.997500261,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,12,0.126249358,0.050106045,0.040570175,0.87577153,0.997500266,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,13,0.126249453,0.050106045,0.040570175,0.752323106,0.997500137,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,14,0.12624933,0.050106045,0.040570175,0.746751981,0.997500233,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,15,0.126249352,0.050106045,0.040570175,0.875769975,0.997500268,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,16,0.12624934,0.050106045,0.040570175,0.875769268,0.997500258,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,17,0.126249352,0.050371156,0.040570175,0.838927671,0.997500262,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,18,0.12624935,0.050106045,0.040570175,0.875768285,0.997500275,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,19,0.126249344,0.050106045,0.040570175,0.74675176,0.997500224,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,20,0.126249337,0.050106045,0.040570175,0.746751248,0.997500235,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,21,0.126249368,0.050371156,0.040570175,0.840456996,0.99750028,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,22,0.126249349,0.050106045,0.040570175,0.872291877,0.997500289,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,23,0.126249327,0.050106045,0.040570175,0.746751535,0.997500239,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,24,0.12624934,0.050371156,0.040570175,0.881574551,0.997500245,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,25,0.126249369,0.050371156,0.040570175,0.835291782,0.997500319,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,26,0.126249357,0.050371156,0.040570175,0.835287754,0.997500341,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,27,0.126249385,0.050106045,0.040570175,0.742616615,0.997500297,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,28,0.126249333,0.050371156,0.040570175,0.757547581,0.997500233,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,29,0.126249329,0.050106045,0.040570175,0.875770623,0.997500239,0.970194032,0.067528408,green,green,,1,,0.962333106
0.01,adaptive,RQ,0,0.038643774,0.008748674,0.00877193,0.640640563,0.999995013,0.512009262,0.723307796,green,green,1,1,0.704196184,0.87081718
0.01,adaptive,RQ,1,0.038573311,0.009013786,0.009320175,0.681370297,0.999988251,0.622959429,0.906088006,green,green,1,1,0.684310228,0.851403823
